Date ,Month,Year,keyword,rising,
01/09/2012,Sep,2012,fondant potatoes,1.50,
01/09/2012,Sep,2012,perfect roast potatoes,1.30,
01/09/2012,Sep,2012,green potatoes,0.70,
01/09/2012,Sep,2012,roast potatoes,0.60,
01/09/2012,Sep,2012,potato soup recipe,0.60,
01/09/2012,Sep,2012,best roast potatoes,0.60,
01/09/2012,Sep,2012,crushed new potatoes,0.60,
01/09/2012,Sep,2012,potato rosti,0.50,
01/09/2012,Sep,2012,potato soup,0.50,
01/09/2012,Sep,2012,parmentier potatoes,0.40,
01/10/2012,Oct,2012,best roast potatoes,0.60,
01/10/2012,Oct,2012,dauphinoise potatoes,0.50,
01/10/2012,Oct,2012,saute potatoes,0.50,
01/10/2012,Oct,2012,roast potatoes,0.40,
01/10/2012,Oct,2012,boulangere potatoes,0.40,
01/11/2012,Nov,2012,potato dauphine,6.50,
01/11/2012,Nov,2012,potato fondant,2.50,
01/11/2012,Nov,2012,potato peeler,2.50,
01/11/2012,Nov,2012,fondant potatoes,1.40,
01/11/2012,Nov,2012,parmentier potatoes,0.90,
01/11/2012,Nov,2012,funky potato,0.60,
01/11/2012,Nov,2012,potato rosti,0.50,
01/11/2012,Nov,2012,potatoes au gratin,0.40,
01/11/2012,Nov,2012,bbc food,0.40,
01/11/2012,Nov,2012,osmosis potato experiment,0.40,
01/12/2012,Dec,2012,roast parsnips,7.50,
01/12/2012,Dec,2012,goose fat potatoes,6.50,
01/12/2012,Dec,2012,honey roast parsnips,6.00,
01/12/2012,Dec,2012,nigella roast potatoes,5.00,
01/12/2012,Dec,2012,best roasting potatoes,4.50,
01/12/2012,Dec,2012,dauphinoise potatoes wiki,4.00,
01/12/2012,Dec,2012,delia roast potatoes,3.50,
01/12/2012,Dec,2012,roast potatos,3.00,
01/12/2012,Dec,2012,cooking roast potatoes,3.00,
01/12/2012,Dec,2012,best roast potatoes,3.00,
01/12/2012,Dec,2012,roast potatoes recipes,2.50,
01/12/2012,Dec,2012,roast potato recipe,2.50,
01/12/2012,Dec,2012,dauphinoise potatoes delia,2.00,
01/12/2012,Dec,2012,roasting potatoes,2.00,
01/12/2012,Dec,2012,dauphinoise potatoes recipe,2.00,
01/12/2012,Dec,2012,dauphinoise potatoes cheese,1.70,
01/12/2012,Dec,2012,roast potatoes recipe,1.70,
01/12/2012,Dec,2012,roast potatoes,1.60,
01/12/2012,Dec,2012,perfect roast potatoes,1.40,
01/12/2012,Dec,2012,crispy roast potatoes,1.20,
01/12/2012,Dec,2012,hasselback potatoes,1.20,
01/12/2012,Dec,2012,parsnip soup,1.00,
01/12/2012,Dec,2012,saute potatoes,0.90,
01/12/2012,Dec,2012,delia smith,0.80,
01/12/2012,Dec,2012,funky potato,0.70,
01/01/2013,Jan,2013,growing potatoes,6.50,
01/01/2013,Jan,2013,potato rosti recipe,4.00,
01/01/2013,Jan,2013,seed potatoes,3.50,
01/01/2013,Jan,2013,roasted new potatoes,1.60,
01/01/2013,Jan,2013,bombay potatoes recipe,1.50,
01/01/2013,Jan,2013,bombay potatoes,1.20,
01/01/2013,Jan,2013,potato curry,1.10,
01/01/2013,Jan,2013,parmentier potatoes,0.80,
01/01/2013,Jan,2013,osmosis,0.70,
01/01/2013,Jan,2013,potato leek soup,0.60,
01/01/2013,Jan,2013,potato croquettes,0.60,
01/01/2013,Jan,2013,potato soup,0.50,
01/01/2013,Jan,2013,potato rosti,0.50,
01/01/2013,Jan,2013,potato recipes,0.50,
01/01/2013,Jan,2013,potato soup recipe,0.50,
01/01/2013,Jan,2013,potatoes au gratin,0.40,
01/02/2013,Feb,2013,hasselback potatoes,2.00,
01/02/2013,Feb,2013,chitting potatoes,1.40,
01/02/2013,Feb,2013,parmentier potatoes,0.50,
01/02/2013,Feb,2013,funky potato,0.50,
01/03/2013,Mar,2013,italian potato dumplings,30.00,
01/03/2013,Mar,2013,fondant potatoes,1.90,
01/03/2013,Mar,2013,potato party,1.70,
01/03/2013,Mar,2013,planting potatoes,1.50,
01/03/2013,Mar,2013,fondant potatoes recipe,1.30,
01/03/2013,Mar,2013,potato fondant,1.00,
01/03/2013,Mar,2013,potatoes boulangere,0.90,
01/03/2013,Mar,2013,perfect roast potatoes,0.90,
01/03/2013,Mar,2013,best roast potatoes,0.70,
01/03/2013,Mar,2013,potato chipper,0.70,
01/03/2013,Mar,2013,potato boulangere,0.50,
01/03/2013,Mar,2013,roasted potatoes,0.40,
01/04/2013,Apr,2013,english potato vodka,30.00,
01/04/2013,Apr,2013,british potato vodka,30.00,
01/04/2013,Apr,2013,rotato potato peeler,27.50,
01/04/2013,Apr,2013,potato vodka,10.00,
01/04/2013,Apr,2013,italian potato dumplings,8.00,
01/04/2013,Apr,2013,star wars potato,7.00,
01/04/2013,Apr,2013,fondant potato,4.50,
01/04/2013,Apr,2013,dauphinoise potatoes delia,3.50,
01/04/2013,Apr,2013,new potato recipes,2.50,
01/04/2013,Apr,2013,fondant potatoes,1.90,
01/04/2013,Apr,2013,planting potatoes,1.20,
01/04/2013,Apr,2013,potato rosti recipe,0.90,
01/04/2013,Apr,2013,fondant potatoes recipe,0.80,
01/04/2013,Apr,2013,charlotte potatoes,0.80,
01/04/2013,Apr,2013,growing potatoes,0.70,
01/04/2013,Apr,2013,potato salad,0.50,
01/04/2013,Apr,2013,saute potatoes,0.40,
01/05/2013,May,2013,potato clock,2.00,
01/05/2013,May,2013,potato salad,0.70,
01/05/2013,May,2013,new potato recipes,0.70,
01/06/2013,June,2013,purple potatoes,1.60,
01/06/2013,June,2013,potato clock,0.70,
01/07/2013,July,2013,hasselback potatoes,2.00,
01/07/2013,July,2013,roast new potatoes,0.90,
01/07/2013,July,2013,potato salad,0.70,
01/08/2013,Aug,2013,perfect roast potatoes,3.00,
01/08/2013,Aug,2013,best roast potatoes,2.00,
01/08/2013,Aug,2013,potato scab,1.60,
01/08/2013,Aug,2013,potato fondant,1.50,
01/08/2013,Aug,2013,fondant potatoes,1.00,
01/08/2013,Aug,2013,crushed new potatoes,1.00,
01/08/2013,Aug,2013,saute potatoes,0.90,
01/08/2013,Aug,2013,roast potatoes,0.70,
01/08/2013,Aug,2013,bbc good food,0.70,
01/08/2013,Aug,2013,potatoes dauphinoise,0.70,
01/08/2013,Aug,2013,boulangere potatoes,0.60,
01/08/2013,Aug,2013,potato soup,0.50,
01/09/2013,Sep,2013,tomato potato plant,7.50,
01/09/2013,Sep,2013,dauphinoise potatoes delia,7.50,
01/09/2013,Sep,2013,funky potato,3.50,
01/09/2013,Sep,2013,boulangere potatoes,2.00,
01/09/2013,Sep,2013,dauphinoise potatoes recipe,2.00,
01/09/2013,Sep,2013,potato leek soup,1.70,
01/09/2013,Sep,2013,perfect roast potatoes,1.50,
01/09/2013,Sep,2013,potato soup,1.10,
01/09/2013,Sep,2013,best roast potatoes,0.80,
01/09/2013,Sep,2013,purple potatoes,0.80,
01/09/2013,Sep,2013,roast potatoes,0.50,
01/09/2013,Sep,2013,roast new potatoes,0.50,
01/10/2013,Oct,2013,kartoffel,4.00,
01/10/2013,Oct,2013,potato clock,1.90,
01/10/2013,Oct,2013,bombay potatoes recipe,1.70,
01/10/2013,Oct,2013,potato leek soup,0.80,
01/10/2013,Oct,2013,potato rosti recipe,0.60,
01/10/2013,Oct,2013,sauteed potatoes,0.50,
01/10/2013,Oct,2013,potato soup,0.40,
01/11/2013,Nov,2013,fondant potato,3.50,
01/11/2013,Nov,2013,fondant potatoes,1.90,
01/11/2013,Nov,2013,potato gnocchi,0.80,
01/11/2013,Nov,2013,potato croquettes,0.80,
01/11/2013,Nov,2013,confit potatoes,0.80,
01/11/2013,Nov,2013,perfect roast potatoes,0.70,
01/11/2013,Nov,2013,best roast potatoes,0.70,
01/11/2013,Nov,2013,potato rosti recipe,0.50,
01/12/2013,Dec,2013,goose fat potatoes,7.00,
01/12/2013,Dec,2013,jamie roast potatoes,6.00,
01/12/2013,Dec,2013,potatoes for roasting,5.50,
01/12/2013,Dec,2013,roast parsnips,5.50,
01/12/2013,Dec,2013,nigella roast potatoes,5.00,
01/12/2013,Dec,2013,best roasting potatoes,4.50,
01/12/2013,Dec,2013,heston roast potatoes,4.00,
01/12/2013,Dec,2013,roasting potatoes,3.50,
01/12/2013,Dec,2013,cooking roast potatoes,3.00,
01/12/2013,Dec,2013,tom kerridge,3.00,
01/12/2013,Dec,2013,dauphinois potatoes,3.00,
01/12/2013,Dec,2013,vegetarian roast potatoes,2.50,
01/12/2013,Dec,2013,perfect roast potatoes,2.00,
01/12/2013,Dec,2013,delia roast potatoes,2.00,
01/12/2013,Dec,2013,best roast potatoes,1.80,
01/12/2013,Dec,2013,roast potatoes recipe,1.80,
01/12/2013,Dec,2013,jamie oliver,1.80,
01/12/2013,Dec,2013,roast beef,1.60,
01/12/2013,Dec,2013,roast potatoes,1.50,
01/12/2013,Dec,2013,potatoes au gratin,1.30,
01/12/2013,Dec,2013,crispy roast potatoes,1.10,
01/12/2013,Dec,2013,easy roast potatoes,1.00,
01/12/2013,Dec,2013,roasted potatoes,0.90,
01/12/2013,Dec,2013,yorkshire pudding,0.80,
01/12/2013,Dec,2013,roast potato recipe,0.80,
01/01/2014,Jan,2014,dauphinois potatoes,8.00,
01/01/2014,Jan,2014,calories in potatoes,4.50,
01/01/2014,Jan,2014,chitting potatoes,4.00,
01/01/2014,Jan,2014,seed potatoes,3.50,
01/01/2014,Jan,2014,growing potatoes,2.50,
01/01/2014,Jan,2014,calories in potato,2.50,
01/01/2014,Jan,2014,saute potatoes,0.90,
01/01/2014,Jan,2014,new potatoes,0.60,
01/01/2014,Jan,2014,purple potatoes,0.60,
01/01/2014,Jan,2014,potato croquettes,0.50,
01/01/2014,Jan,2014,potato rosti recipe,0.50,
01/01/2014,Jan,2014,potato leek soup,0.40,
01/01/2014,Jan,2014,crushed new potatoes,0.40,
01/01/2014,Jan,2014,soup recipes,0.40,
01/01/2014,Jan,2014,potato curry,0.40,
01/02/2014,Feb,2014,elfe potatoes,3.00,
01/02/2014,Feb,2014,potato croquettes,1.60,
01/02/2014,Feb,2014,planting potatoes,1.00,
01/02/2014,Feb,2014,saute potatoes,0.80,
01/02/2014,Feb,2014,growing potatoes,0.60,
01/02/2014,Feb,2014,dauphinoise potatoes delia,0.60,
01/02/2014,Feb,2014,dauphinoise potatoes recipe,0.50,
01/02/2014,Feb,2014,bbc food,0.40,
01/03/2014,Mar,2014,kawaii potato,30.00,30.00
01/03/2014,Mar,2014,planting potatoes,3.00,
01/03/2014,Mar,2014,growing potatoes,1.80,
01/03/2014,Mar,2014,fondant potatoes,0.60,
01/03/2014,Mar,2014,dauphinoise potatoes nigella,0.60,
01/03/2014,Mar,2014,cooking roast potatoes,0.60,
01/04/2014,Apr,2014,english potato vodka,30.00,
01/04/2014,Apr,2014,potato fondant,7.00,
01/04/2014,Apr,2014,potato vodka,2.50,
01/04/2014,Apr,2014,potato dumplings,2.00,
01/04/2014,Apr,2014,crushed new potatoes,1.30,
01/04/2014,Apr,2014,gnocchi,1.30,
01/04/2014,Apr,2014,crushed potatoes,1.30,
01/04/2014,Apr,2014,roasted new potatoes,1.00,
01/04/2014,Apr,2014,fondant potatoes,0.90,
01/04/2014,Apr,2014,new potatoes recipe,0.90,
01/04/2014,Apr,2014,potato croquettes,0.60,
01/04/2014,Apr,2014,potato rosti recipe,0.50,
01/04/2014,Apr,2014,bbc food,0.40,
01/05/2014,May,2014,aeschylus,30.00,
01/05/2014,May,2014,kartoffel,3.50,
01/05/2014,May,2014,potato bug,2.00,
01/05/2014,May,2014,crushed new potatoes,1.40,
01/05/2014,May,2014,potato peeler,0.90,
01/05/2014,May,2014,new potato recipes,0.80,
01/05/2014,May,2014,potato salad,0.70,
01/06/2014,June,2014,dauphinoise potatoes delia,3.50,
01/06/2014,June,2014,potato blight,1.50,
01/06/2014,June,2014,salmon recipes,1.00,
01/06/2014,June,2014,potato gratin recipe,0.70,
01/06/2014,June,2014,calories in potatoes,0.60,
01/07/2014,July,2014,crushed new potatoes,1.20,
01/07/2014,July,2014,storing potatoes,1.00,
01/07/2014,July,2014,roast new potatoes,0.80,
01/07/2014,July,2014,perfect roast potatoes,0.80,
01/07/2014,July,2014,potato rosti recipe,0.60,
01/07/2014,July,2014,green potatoes,0.60,
01/08/2014,Aug,2014,fondant potatoes,1.50,
01/08/2014,Aug,2014,boulangere potatoes,1.40,
01/08/2014,Aug,2014,best roast potatoes,1.00,
01/08/2014,Aug,2014,potato dauphinoise,0.90,
01/08/2014,Aug,2014,dauphinoise potatoes,0.80,
01/08/2014,Aug,2014,storing potatoes,0.80,
01/08/2014,Aug,2014,perfect roast potatoes,0.70,
01/08/2014,Aug,2014,roast chicken,0.60,
01/08/2014,Aug,2014,dauphinoise potatoes milk,0.60,
01/08/2014,Aug,2014,roast potatoes,0.50,
01/09/2014,Sep,2014,potato restaurant,5.00,
01/09/2014,Sep,2014,potato wine,0.80,
01/09/2014,Sep,2014,potato croquettes,0.50,
01/10/2014,Oct,2014,brian harvey potato,30.00,
01/10/2014,Oct,2014,pieczone ziemniaki,1.50,
01/10/2014,Oct,2014,potato croquettes,1.20,
01/10/2014,Oct,2014,potato leek soup,0.60,
01/10/2014,Oct,2014,hasselback potatoes,0.50,
01/11/2014,Nov,2014,dauphinoise potatoes delia,2.50,
01/11/2014,Nov,2014,bombay potato recipe,1.00,
01/11/2014,Nov,2014,roast potatoes recipe,0.70,
01/11/2014,Nov,2014,boulangere potatoes,0.60,
01/11/2014,Nov,2014,potato fondant,0.50,
01/12/2014,Dec,2014,dauphinoise potatoes wiki,30.00,
01/12/2014,Dec,2014,dauphinoise potatoes nigella,10.00,
01/12/2014,Dec,2014,goose fat potatoes,7.50,
01/12/2014,Dec,2014,best roasting potatoes,5.00,
01/12/2014,Dec,2014,potato dauphinoise delia,4.50,
01/12/2014,Dec,2014,honey roast parsnips,4.00,
01/12/2014,Dec,2014,nigella roast potatoes,4.00,
01/12/2014,Dec,2014,roast parsnips,3.50,
01/12/2014,Dec,2014,potato souffle,3.00,
01/12/2014,Dec,2014,yorkshire pudding,3.00,
01/12/2014,Dec,2014,roasting potatoes,3.00,
01/12/2014,Dec,2014,parboil potatoes,2.50,
01/12/2014,Dec,2014,dauphinoise potatoes bbc,2.50,
01/12/2014,Dec,2014,cooking roast potatoes,2.00,
01/12/2014,Dec,2014,perfect roast potatoes,2.00,
01/12/2014,Dec,2014,roast potato recipe,1.80,
01/12/2014,Dec,2014,best roast potatoes,1.70,
01/12/2014,Dec,2014,crispy roast potatoes,1.40,
01/12/2014,Dec,2014,roast potatoes recipe,1.30,
01/12/2014,Dec,2014,jamie oliver,1.30,
01/12/2014,Dec,2014,potato gratin recipes,1.30,
01/12/2014,Dec,2014,roast potatoes,1.20,
01/12/2014,Dec,2014,dauphinoise potatoes recipe,0.60,
01/12/2014,Dec,2014,potatoes au gratin,0.50,
01/12/2014,Dec,2014,dolphinwa potatoes,0.50,
01/01/2015,Jan,2015,chitting potatoes,8.50,
01/01/2015,Jan,2015,calories in potato,5.00,
01/01/2015,Jan,2015,calories in potatoes,3.00,
01/01/2015,Jan,2015,seed potatoes,2.50,
01/01/2015,Jan,2015,purple potatoes,1.90,
01/01/2015,Jan,2015,charlotte potatoes,1.80,
01/01/2015,Jan,2015,growing potatoes,1.60,
01/01/2015,Jan,2015,sweet potato,0.80,
01/01/2015,Jan,2015,potato leek soup,0.80,
01/01/2015,Jan,2015,parmentier potatoes,0.80,
01/01/2015,Jan,2015,new potatoes,0.70,
01/01/2015,Jan,2015,potato rosti,0.70,
01/01/2015,Jan,2015,potato soup recipe,0.60,
01/01/2015,Jan,2015,potato soup,0.60,
01/01/2015,Jan,2015,potato curry,0.60,
01/01/2015,Jan,2015,green potatoes,0.50,
01/01/2015,Jan,2015,hasselback potatoes,0.50,
01/01/2015,Jan,2015,potato recipes,0.40,
01/01/2015,Jan,2015,bombay potatoes,0.40,
01/01/2015,Jan,2015,vegetable soup,0.40,
01/01/2015,Jan,2015,soup recipes,0.40,
01/02/2015,Feb,2015,planting potatoes,1.70,
01/02/2015,Feb,2015,chitting potatoes,1.30,
01/02/2015,Feb,2015,potato grow bags,1.00,
01/02/2015,Feb,2015,fondant potatoes,1.00,
01/02/2015,Feb,2015,new potatoes recipe,0.80,
01/02/2015,Feb,2015,crushed new potatoes,0.80,
01/02/2015,Feb,2015,potato gratin recipe,0.60,
01/02/2015,Feb,2015,dauphinoise potatoes,0.50,
01/02/2015,Feb,2015,parmentier potatoes,0.50,
01/02/2015,Feb,2015,growing potatoes,0.50,
01/03/2015,Mar,2015,planting potatoes,2.00,
01/03/2015,Mar,2015,fondant potatoes,1.50,
01/03/2015,Mar,2015,potato fondant,0.90,
01/03/2015,Mar,2015,growing potatoes,0.80,
01/03/2015,Mar,2015,best roast potatoes,0.80,
01/03/2015,Mar,2015,green potatoes,0.50,
01/03/2015,Mar,2015,perfect roast potatoes,0.40,
01/04/2015,Apr,2015,caito potatoe,2.50,
01/04/2015,Apr,2015,fondant potato,1.70,
01/04/2015,Apr,2015,dauphinoise potatoes delia,1.60,
01/04/2015,Apr,2015,fondant potatoes,0.50,
01/05/2015,May,2015,bombay potato recipes,2.00,
01/05/2015,May,2015,earthing up potatoes,1.30,
01/05/2015,May,2015,potato dishes,0.90,
01/05/2015,May,2015,spanish potatoes,0.60,
01/05/2015,May,2015,dauphinoise potatoes delia,0.60,
01/05/2015,May,2015,roast new potatoes,0.50,
01/05/2015,May,2015,dauphinoise potatoes recipe,0.40,
01/06/2015,June,2015,purple potatoes,2.00,
01/06/2015,June,2015,crushed new potatoes,1.10,
01/06/2015,June,2015,baby potatoes recipe,1.00,
01/06/2015,June,2015,potato salad,1.00,
01/06/2015,June,2015,potato diseases,1.00,
01/06/2015,June,2015,crushed potatoes,0.80,
01/06/2015,June,2015,greek potatoes,0.70,
01/06/2015,June,2015,roasted new potatoes,0.60,
01/06/2015,June,2015,new potatoes,0.40,
01/07/2015,July,2015,parmentier potatoes,0.90,
01/07/2015,July,2015,roasted new potatoes,0.60,
01/07/2015,July,2015,potatoes dauphinoise,0.60,
01/07/2015,July,2015,fondant potatoes,0.40,
01/08/2015,Aug,2015,potato parcel,3.00,
01/08/2015,Aug,2015,kartoffel,2.50,
01/08/2015,Aug,2015,best roast potatoes,1.60,
01/08/2015,Aug,2015,storing potatoes,1.30,
01/08/2015,Aug,2015,new potato recipe,1.00,
01/08/2015,Aug,2015,potato puffs,0.90,
01/08/2015,Aug,2015,bbc good food,0.80,
01/08/2015,Aug,2015,perfect roast potatoes,0.70,
01/08/2015,Aug,2015,dolphinwa potatoes,0.70,
01/08/2015,Aug,2015,purple potatoes,0.70,
01/08/2015,Aug,2015,bombay potato recipe,0.60,
01/08/2015,Aug,2015,kawaii potato,0.40,
01/09/2015,Sep,2015,potato dauphinoise recipe,2.50,
01/09/2015,Sep,2015,are potatoes vegetables,1.90,
01/09/2015,Sep,2015,dauphine potatoes,1.80,
01/09/2015,Sep,2015,hasselback potato,1.70,
01/09/2015,Sep,2015,dauphinoise potatoes delia,1.60,
01/09/2015,Sep,2015,dauphinois potatoes,1.40,
01/09/2015,Sep,2015,potato dauphinoise,1.30,
01/09/2015,Sep,2015,potato hash,1.00,
01/09/2015,Sep,2015,dauphinoise potatoes recipe,0.80,
01/09/2015,Sep,2015,greek potatoes,0.80,
01/09/2015,Sep,2015,potato leek soup,0.80,
01/09/2015,Sep,2015,fondant potatoes,0.60,
01/09/2015,Sep,2015,kawaii potato,0.40,
01/09/2015,Sep,2015,potato soup,0.40,
01/10/2015,Oct,2015,dauphine potato,2.00,
01/10/2015,Oct,2015,roast potato recipe,1.40,
01/10/2015,Oct,2015,potato dauphinoise recipe,1.10,
01/10/2015,Oct,2015,pieczone ziemniaki,0.80,
01/10/2015,Oct,2015,dolphinwa potatoes,0.50,
01/10/2015,Oct,2015,potato puffs,0.50,
01/10/2015,Oct,2015,potato peeler,0.50,
01/10/2015,Oct,2015,boulangere potatoes,0.40,
01/11/2015,Nov,2015,potato nachos,30.00,
01/11/2015,Nov,2015,fondant potato,4.00,
01/11/2015,Nov,2015,fondant potatoes,1.70,
01/11/2015,Nov,2015,potato fritters,1.00,
01/11/2015,Nov,2015,bombay potato recipe,0.80,
01/11/2015,Nov,2015,best roast potatoes,0.60,
01/11/2015,Nov,2015,hasselback potatoes,0.60,
01/11/2015,Nov,2015,potato hash,0.60,
01/11/2015,Nov,2015,potatoes dauphinoise,0.50,
01/11/2015,Nov,2015,sauteed potatoes,0.50,
01/11/2015,Nov,2015,floury potatoes,0.50,
01/11/2015,Nov,2015,brick or potato,0.40,
01/11/2015,Nov,2015,potato rosti,0.40,
01/12/2015,Dec,2015,jamie oliver christmas,15.00,
01/12/2015,Dec,2015,nigella roast potatoes,7.50,
01/12/2015,Dec,2015,nigella lawson,6.50,
01/12/2015,Dec,2015,christmas roast potatoes,6.50,
01/12/2015,Dec,2015,potato lemonade,6.00,
01/12/2015,Dec,2015,honey roast parsnips,6.00,
01/12/2015,Dec,2015,best roasting potatoes,6.00,
01/12/2015,Dec,2015,delia roast potatoes,5.00,
01/12/2015,Dec,2015,freezing roast potatoes,4.00,
01/12/2015,Dec,2015,jamie roast potatoes,4.00,
01/12/2015,Dec,2015,roast parsnips,3.50,
01/12/2015,Dec,2015,parboil potatoes,3.00,
01/12/2015,Dec,2015,goose fat potatoes,2.50,
01/12/2015,Dec,2015,roasting potatoes,2.50,
01/12/2015,Dec,2015,fondant potatoes,2.00,
01/12/2015,Dec,2015,cooking roast potatoes,2.00,
01/12/2015,Dec,2015,reheating roast potatoes,2.00,
01/12/2015,Dec,2015,jamie oliver,1.90,
01/12/2015,Dec,2015,marfona potatoes,1.80,
01/12/2015,Dec,2015,musaca de cartofi,1.60,
01/12/2015,Dec,2015,leftover roast potatoes,1.60,
01/12/2015,Dec,2015,jamies roast potatoes,1.60,
01/12/2015,Dec,2015,best roast potatoes,1.50,
01/12/2015,Dec,2015,perfect roast potatoes,1.50,
01/12/2015,Dec,2015,roast potatos,1.50,
01/01/2016,Jan,2016,caito potatoe,7.50,
01/01/2016,Jan,2016,crushed new potatoes,2.50,
01/01/2016,Jan,2016,potato calories,2.00,
01/01/2016,Jan,2016,seed potatoes,2.00,
01/01/2016,Jan,2016,calories in potatoes,2.00,
01/01/2016,Jan,2016,chitting potatoes,1.90,
01/01/2016,Jan,2016,calories in potato,1.70,
01/01/2016,Jan,2016,hasselback potato,1.50,
01/01/2016,Jan,2016,sweet potato,1.40,
01/01/2016,Jan,2016,potato hash,1.20,
01/01/2016,Jan,2016,dolphinwa potatoes,1.10,
01/01/2016,Jan,2016,charlotte potatoes,1.00,
01/01/2016,Jan,2016,saute potatoes,0.70,
01/01/2016,Jan,2016,potato nutrition,0.70,
01/01/2016,Jan,2016,potato curry,0.60,
01/01/2016,Jan,2016,new potatoes,0.60,
01/01/2016,Jan,2016,floury potatoes,0.60,
01/01/2016,Jan,2016,parmentier potatoes,0.60,
01/01/2016,Jan,2016,sauteed potatoes,0.50,
01/01/2016,Jan,2016,spanish potatoes,0.50,
01/01/2016,Jan,2016,potato leek soup,0.50,
01/01/2016,Jan,2016,potato soup,0.50,
01/01/2016,Jan,2016,potato dishes,0.50,
01/01/2016,Jan,2016,potato recipes,0.50,
01/01/2016,Jan,2016,dauphinoise potatoes nigella,0.50,
01/02/2016,Feb,2016,text a potato,30.00,
01/02/2016,Feb,2016,dauphinoise potatoes nigella,5.50,
01/02/2016,Feb,2016,hasselback potato,3.00,
01/02/2016,Feb,2016,dauphinoise potato recipe,1.60,
01/02/2016,Feb,2016,crushed new potatoes,1.40,
01/02/2016,Feb,2016,new potato recipe,1.00,
01/02/2016,Feb,2016,crushed potatoes,0.90,
01/02/2016,Feb,2016,planting potatoes,0.80,
01/02/2016,Feb,2016,kawaii potato,0.60,
01/02/2016,Feb,2016,oxo roast potatoes,0.60,
01/02/2016,Feb,2016,potato puffs,0.50,
01/02/2016,Feb,2016,seed potatoes,0.50,
01/02/2016,Feb,2016,cartofi la cuptor,0.50,
01/03/2016,Mar,2016,fondant potatoes,3.50,
01/03/2016,Mar,2016,dauphine potatoes,3.00,
01/03/2016,Mar,2016,potato pizza,2.00,
01/03/2016,Mar,2016,planting potatoes,1.60,
01/03/2016,Mar,2016,potato grow bags,1.40,
01/03/2016,Mar,2016,roast lamb,1.30,
01/03/2016,Mar,2016,dauphinoise potatoes delia,1.10,
01/03/2016,Mar,2016,roast new potatoes,0.90,
01/03/2016,Mar,2016,chitting potatoes,0.50,
01/03/2016,Mar,2016,charlotte potatoes,0.50,
01/04/2016,Apr,2016,fondant potato,3.00,
01/04/2016,Apr,2016,fondant potatoes,2.00,
01/04/2016,Apr,2016,hasselback potatoes,1.90,
01/04/2016,Apr,2016,confit potatoes,1.70,
01/04/2016,Apr,2016,purple potatoes,1.30,
01/04/2016,Apr,2016,hassleback potatoes,1.00,
01/04/2016,Apr,2016,sauteed potatoes,0.60,
01/04/2016,Apr,2016,new potato recipes,0.60,
01/04/2016,Apr,2016,crushed new potatoes,0.50,
01/05/2016,May,2016,saute potatoes,0.50,
01/06/2016,June,2016,potato bug,2.00,
01/06/2016,June,2016,potato blight,1.90,
01/06/2016,June,2016,new potato recipe,1.60,
01/06/2016,June,2016,floury potatoes,0.80,
01/06/2016,June,2016,kawaii potato,0.80,
01/06/2016,June,2016,potato croquettes,0.70,
01/06/2016,June,2016,potato plant,0.50,
01/07/2016,July,2016,storing potatoes,4.50,
01/07/2016,July,2016,potato blight,3.50,
01/07/2016,July,2016,potato dauphine,2.50,
01/07/2016,July,2016,hasselback potato,1.60,
01/07/2016,July,2016,boulangere potatoes,1.10,
